subregion,population,area
alcona,10167,1791
alger,8842,5049
allegan,120502,1833
alpena,28907,1695
antrim,23431,602
arenac,15002,681
baraga,8158,1069
barry,62423,577
bay,103856,631
benzie,17970,860
berrien,154316,1581
branch,44862,519
calhoun,134310,718
cass,51589,508
charlevoix,26054,1391
cheboygan,25579,885
chippewa,36785,2698
clare,30856,575
clinton,79128,575
crawford,12988,563
delta,36903,1992
dickinson,25947,777
eaton,109175,579
emmet,34112,882
genesee,406211,649
gladwin,25386,516
gogebic,14380,1476
grand traverse,95238,601
gratiot,41761,572
hillsdale,45746,607
houghton,37361,1502
huron,31407,2136
ingham,284900,561
ionia,66804,580
iosco,25237,1891
iron,11631,1211
isabella,64394,578
jackson,160366,724
kalamazoo,261670,580
kalkaska,17939,571
kent,657974,872
keweenaw,2046,5966
lake,12096,575
lapeer,88619,663
leelanau,22301,2532
lenawee,99423,761
livingston,193866,585
luce,5339,1912
mackinac,10834,2101
macomb,881217,570
manistee,25032,1281
marquette,66017,3425
mason,29052,1242
mecosta,39714,571
menominee,23502,1338
midland,83494,528
missaukee,15052,574
monroe,154809,680
montcalm,66614,721
montmorency,9153,562
muskegon,175824,1459
newaygo,49978,861
oakland,1274395,908
oceana,26659,1307
ogemaw,20770,575
ontonagon,5816,3741
osceola,22891,573
oscoda,8219,572
otsego,25091,526
ottawa,296200,1632
presque isle,12982,2573
roscommon,23459,580
saginaw,190124,816
st clair,160383,837
st joseph,60939,521
sanilac,40611,1590
schoolcraft,8047,1884
shiawassee,68094,541
tuscola,53323,914
van buren,75587,1090
washtenaw,372258,723
wayne,1793561,672
wexford,33673,576
